Aluno,Turma,Nota,Presenca_%,Entrega_no_prazo,Projeto
Hugo Souza,T3,1.9,53.0,SIM,A
Iris Rodrigues,T4,4.2,60.0,SIM,C
Bruno Lima,T4,8.1,72.0,NAO,A
Ana Ferreira,T1,9.9,67.0,SIM,C
Ana Santos,T3,4.6,93.0,SIM,B
Edu Souza,T2,5.9,42.0,SIM,B
Lia Costa,,1.3,86.0,SIM,B
Lia Ferreira,T1,6.0,54.0,NAO,B
Kai Ferreira,T4,0.8,54.0,SIM,A
Lia Ferreira,T3,9.7,53.0,SIM,C
João Almeida,T3,6.1,75.0,NAO,A
Iris Santos,T4,9.2,,NAO,A
Carla Pereira,T4,1.1,100.0,SIM,A
Fê Silva,T4,3.4,100.0,NAO,B
Fê Almeida,T2,6.9,52.0,SIM,C
,T3,7.2,69.0,SIM,A
Bruno Almeida,T1,7.3,53.0,SIM,A
Diego Santos,,,69.0,SIM,B
João Costa,T4,6.5,94.0,SIM,C
Diego Almeida,T3,7.3,,SIM,A
Ana Almeida,T3,0.8,81.0,SIM,
João Pereira,T2,7.8,49.0,SIM,B
Bruno Oliveira,T2,1.7,,NAO,A
Hugo Costa,T1,9.3,49.0,NAO,
Fê Ferreira,T2,4.3,44.0,NAO,B
Diego Lima,T1,1.6,40.0,SIM,B
Gabi Ferreira,T3,2.5,67.0,SIM,B
Bruno Souza,T4,1.7,90.0,SIM,B
Fê Almeida,T3,,65.0,NAO,B
Diego Oliveira,,3.1,,SIM,A
Ana Oliveira,T1,0.8,45.0,NAO,A
João Ferreira,T4,7.7,95.0,NAO,C
Bruno Oliveira,T3,6.1,57.0,SIM,C
Edu Rodrigues,T1,6.0,77.0,NAO,A
Bruno Rodrigues,T4,3.3,96.0,,A
Hugo Santos,T4,9.4,72.0,SIM,A
Gabi Lima,T2,5.7,87.0,NAO,
Hugo Oliveira,T2,3.9,58.0,NAO,C
Edu Rodrigues,T1,4.8,86.0,NAO,B
Bruno Pereira,T1,1.3,80.0,NAO,B
Edu Santos,,,48.0,SIM,A
João Silva,,6.2,45.0,SIM,B
Gabi Oliveira,T1,4.3,82.0,NAO,B
Edu Souza,T2,6.7,75.0,SIM,C
Iris Silva,T4,8.8,91.0,,C
Carla Pereira,T1,6.2,48.0,NAO,
Hugo Ferreira,T1,4.7,49.0,NAO,C
Ana Silva,T1,0.6,68.0,NAO,
Hugo Santos,T2,0.4,50.0,SIM,A
,T2,9.1,49.0,,B
Lia Lima,T4,9.4,94.0,NAO,A
Carla Oliveira,T1,1.3,82.0,NAO,C
Ana Silva,T2,4.8,58.0,SIM,C
Gabi Costa,T3,1.4,89.0,SIM,C
Fê Santos,T4,5.3,64.0,SIM,A
Iris Costa,T2,3.5,53.0,NAO,
Carla Santos,T2,8.2,80.0,SIM,B
Iris Santos,T1,7.6,56.0,SIM,C
Ana Oliveira,T2,5.6,75.0,NAO,
Iris Oliveira,T2,1.1,89.0,NAO,C
Ana Rodrigues,T2,6.3,42.0,NAO,A
Gabi Rodrigues,T3,6.3,67.0,NAO,C
Kai Oliveira,T3,6.0,40.0,,B
Lia Silva,T2,8.4,43.0,SIM,B
Carla Almeida,T4,9.0,55.0,NAO,C
Lia Oliveira,T1,4.3,67.0,NAO,B
Iris Oliveira,T4,2.7,54.0,NAO,A
,T1,8.0,66.0,,A
Kai Santos,,4.2,45.0,NAO,A
João Silva,T1,0.5,80.0,SIM,C
Hugo Santos,T4,1.8,,SIM,C
Kai Lima,T2,3.1,40.0,SIM,
Bruno Souza,T2,6.7,,NAO,C
Iris Pereira,T2,6.2,,SIM,B
Gabi Almeida,T1,8.8,49.0,SIM,B
,,9.4,,SIM,C
Hugo Santos,T1,3.1,50.0,NAO,A
Ana Oliveira,T3,4.6,51.0,NAO,A
Edu Ferreira,T3,9.5,64.0,SIM,C
Diego Almeida,T2,7.4,56.0,NAO,A
Gabi Almeida,T1,,77.0,SIM,B
